"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2020","11.13","10.97","11.13","10.90","31.52K","1.52%"
"08/28/2020","10.97","10.80","10.97","10.80","1.17K","-0.30%"
"08/27/2020","11.00","11.00","11.00","11.00","3.92K","0.00%"
"08/26/2020","11.00","11.10","11.10","11.00","1.28K","-0.30%"
"08/25/2020","11.03","11.10","11.10","10.93","46.76K","-0.60%"
"08/24/2020","11.10","11.00","11.17","10.97","19.68K","1.22%"
"08/21/2020","10.97","10.67","11.00","10.67","67.73K","1.54%"
"08/20/2020","10.80","10.77","10.93","10.77","55.78K","0.31%"
"08/19/2020","10.77","10.83","10.83","10.43","29.73K","2.54%"
"08/18/2020","10.50","10.67","10.90","10.50","40.65K","0.00%"
"08/17/2020","10.50","10.60","10.60","10.50","7.80K","-4.55%"
"08/14/2020","11.00","10.53","11.00","10.53","48.15K","4.10%"
"08/13/2020","10.57","10.67","10.67","10.57","4.74K","-0.94%"
"08/12/2020","10.67","10.73","10.97","10.57","38.05K","-0.31%"
"08/11/2020","10.70","10.83","11.00","10.67","32.34K","-2.73%"
"08/10/2020","11.00","11.17","11.17","10.67","89.36K","-1.49%"
"08/07/2020","11.17","11.20","11.20","10.67","133.50K","-1.18%"
"08/06/2020","11.30","11.27","11.33","11.10","88.38K","0.59%"
"08/05/2020","11.23","11.50","11.67","11.03","486.40K","-0.88%"
"08/04/2020","11.33","10.83","11.50","10.83","950.68K","6.25%"
"07/31/2020","10.67","9.50","10.67","9.33","825.84K","11.11%"
"07/30/2020","9.60","9.67","9.70","9.60","9.61K","-0.69%"
"07/29/2020","9.67","9.63","9.83","9.63","28.75K","-1.02%"
"07/28/2020","9.77","9.77","9.77","9.40","4.92K","0.69%"
"07/27/2020","9.70","9.63","9.83","9.63","159.22K","2.46%"
"07/24/2020","9.47","9.33","9.63","9.27","227.18K","2.90%"
"07/23/2020","9.20","8.73","9.33","8.67","146.20K","6.15%"
"07/22/2020","8.67","8.67","8.67","8.67","0.34K","-0.38%"
"07/21/2020","8.70","8.70","8.70","8.67","15.47K","-0.76%"
"07/20/2020","8.77","8.70","8.77","8.70","3.17K","5.20%"
"07/17/2020","8.33","8.33","8.67","8.33","39.21K","0.00%"
"07/16/2020","8.33","8.23","8.33","8.23","32.75K","2.04%"
"07/15/2020","8.17","8.33","8.33","8.17","138.15K","-2.00%"
"07/14/2020","8.33","8.50","8.67","8.33","188.41K","2.04%"
"07/13/2020","8.17","8.33","8.53","7.80","48.33K","-5.77%"
"07/10/2020","8.67","9.03","9.13","8.50","79.07K","-7.14%"
"07/09/2020","9.33","9.57","10.00","8.90","39.53K","3.70%"
"07/08/2020","9.00","9.07","9.10","8.97","46.23K","-0.74%"
"07/07/2020","9.07","9.43","9.43","9.07","15.15K","-2.86%"
"07/06/2020","9.33","9.00","9.43","9.00","58.09K","3.70%"
"07/03/2020","9.00","9.50","9.63","9.00","54.68K","-5.26%"
"07/02/2020","9.50","9.10","9.50","9.10","65.58K","4.40%"
"07/01/2020","9.10","9.13","9.17","9.00","93.11K","1.11%"
"06/30/2020","9.00","8.80","9.23","8.80","95.85K","2.27%"
"06/29/2020","8.80","8.47","9.00","8.47","68.95K","5.60%"
"06/26/2020","8.33","8.33","8.43","8.23","24.49K","2.04%"
"06/25/2020","8.17","8.47","8.47","8.17","31.52K","-3.54%"
"06/24/2020","8.47","8.43","8.67","8.30","45.76K","0.00%"
"06/23/2020","8.47","8.17","8.60","8.17","99.79K","2.42%"
"06/22/2020","8.27","8.17","8.67","8.10","104.59K","0.00%"
"06/19/2020","8.27","8.33","8.33","8.10","37.53K","-0.80%"
"06/18/2020","8.33","8.33","8.33","8.27","25.13K","2.46%"
"06/17/2020","8.13","8.33","8.33","8.13","33.30K","0.00%"
"06/16/2020","8.13","8.23","8.23","8.13","12.45K","-1.61%"
"06/15/2020","8.27","8.30","8.30","8.27","5.38K","-0.80%"
"06/12/2020","8.33","8.33","8.47","8.33","4.86K","0.00%"
"06/11/2020","8.33","8.53","8.53","8.23","49.17K","-3.10%"
"06/10/2020","8.60","8.60","8.60","8.57","25.85K","0.00%"
"06/09/2020","8.60","8.80","8.80","8.50","40.90K","-2.27%"
"06/08/2020","8.80","8.80","8.83","8.80","17.45K","-0.38%"
"06/03/2020","8.83","8.83","8.83","8.83","3.00K","-0.38%"
"06/02/2020","8.87","8.87","8.87","8.87","5.07K","-0.37%"
"06/01/2020","8.90","9.00","9.00","8.87","2.13K","-1.11%"
"05/29/2020","9.00","9.03","9.03","9.00","7.67K","-1.82%"
"05/28/2020","9.17","9.03","9.20","9.00","6.01K","1.48%"
"05/27/2020","9.03","9.00","9.03","9.00","0.68K","-1.45%"
"05/26/2020","9.17","9.33","9.33","9.00","17.60K","-1.79%"
"05/22/2020","9.33","9.30","9.50","9.30","8.28K","0.36%"
"05/21/2020","9.30","9.00","9.33","9.00","20.78K","3.72%"
"05/20/2020","8.97","9.33","9.33","8.97","2.55K","3.46%"
"05/19/2020","8.67","8.30","8.67","8.30","23.09K","4.42%"
"05/18/2020","8.30","7.30","8.30","7.30","24.55K","13.18%"
"05/15/2020","7.33","7.33","7.33","7.33","0.15K","0.00%"
"05/14/2020","7.33","7.33","7.33","7.30","13.84K","0.00%"
"05/13/2020","7.33","7.17","7.33","7.17","3.50K","1.38%"
"05/12/2020","7.23","6.67","7.33","6.67","21.14K","8.50%"
"05/11/2020","6.67","6.67","6.67","6.67","11.08K","-0.50%"
"03/20/2020","6.70","7.40","7.40","6.70","6.00K","-16.25%"
"03/13/2020","8.00","7.67","8.33","7.50","19.12K","5.26%"
"03/12/2020","7.60","8.07","8.07","7.60","17.43K","-10.24%"
"03/11/2020","8.47","8.37","8.63","8.00","125.60K","5.83%"
"03/10/2020","8.00","8.40","8.97","7.53","138.10K","-11.11%"
"03/06/2020","9.00","9.03","9.90","9.00","20.02K","-3.57%"
"03/05/2020","9.33","10.00","10.00","9.10","7.64K","-3.78%"
"03/04/2020","9.70","10.00","10.00","9.67","36.44K","-3.00%"
"03/03/2020","10.00","10.60","10.90","10.00","29.75K","0.00%"
"03/02/2020","10.00","10.00","10.93","9.87","6.21K","0.00%"
"02/28/2020","10.00","11.30","11.30","10.00","54.24K","-6.25%"
"02/27/2020","10.67","10.67","10.67","10.67","0.60K","3.23%"
"02/26/2020","10.33","10.73","10.73","10.33","53.17K","-3.73%"
"02/25/2020","10.73","10.73","10.73","10.73","0.47K","-7.20%"
"02/24/2020","11.57","11.57","11.57","11.57","0.09K","8.10%"
"02/19/2020","10.70","10.67","10.90","10.67","54.68K","-2.73%"
"02/18/2020","11.00","11.50","11.63","10.53","19.93K","0.00%"
"02/17/2020","11.00","11.03","11.60","11.00","25.22K","-4.62%"
"02/14/2020","11.53","11.53","11.53","11.53","1.50K","-0.57%"
"02/13/2020","11.60","12.27","12.27","11.57","18.63K","0.58%"
"02/12/2020","11.53","11.43","12.00","10.93","122.39K","0.87%"
"02/11/2020","11.43","11.07","11.43","10.33","6.39K","0.00%"
"02/10/2020","11.43","11.50","11.67","11.43","29.07K","-2.28%"
"02/07/2020","11.70","11.70","11.70","11.70","9.03K","-2.50%"
"02/06/2020","12.00","12.00","12.30","11.93","148.32K","0.00%"
"02/05/2020","12.00","11.33","12.00","11.33","135.98K","5.88%"
"02/03/2020","11.33","11.17","11.33","11.17","7.50K","-2.58%"
"01/31/2020","11.63","11.67","11.67","11.17","3.63K","-0.29%"
"01/30/2020","11.67","11.33","11.67","11.33","0.90K","0.00%"
"01/29/2020","11.67","11.33","11.67","11.17","25.10K","2.94%"
"01/28/2020","11.33","11.00","11.67","11.00","31.19K","-2.86%"
"01/27/2020","11.67","12.00","12.03","11.67","98.02K","-2.78%"
"01/24/2020","12.00","11.90","12.30","11.83","28.56K","1.41%"
"01/23/2020","11.83","11.83","12.00","11.67","3.60K","1.43%"
"01/22/2020","11.67","11.67","11.67","11.33","58.91K","0.00%"
"01/21/2020","11.67","11.30","11.67","10.67","193.42K","6.06%"
"01/20/2020","11.00","11.30","11.30","10.53","6.76K","-4.07%"
"01/17/2020","11.47","11.47","11.47","11.47","0.00K","0.58%"
"01/16/2020","11.40","11.00","11.43","10.83","5.11K","-0.58%"
"01/14/2020","11.47","11.37","11.47","11.37","0.33K","0.88%"
"01/13/2020","11.37","10.57","11.37","10.57","3.00K","-0.87%"
"01/09/2020","11.47","10.83","11.50","10.40","1.22K","5.85%"
"01/08/2020","10.83","11.03","11.03","10.00","21.03K","-5.80%"
"01/07/2020","11.50","11.83","11.83","11.00","16.24K","0.29%"
"01/06/2020","11.47","11.50","11.83","11.17","85.12K","-3.10%"
"01/03/2020","11.83","11.57","11.83","11.57","0.91K","-0.56%"
"01/02/2020","11.90","11.97","11.97","11.50","7.08K","-0.56%"
"12/31/2019","11.97","11.83","12.00","11.67","84.05K","-0.28%"
"12/30/2019","12.00","12.17","12.17","11.77","12.21K","-2.17%"
"12/27/2019","12.27","12.20","12.27","11.70","3.40K","0.27%"
"12/26/2019","12.23","11.60","12.33","11.60","67.08K","5.16%"
"12/24/2019","11.63","11.50","11.63","11.40","4.27K","-1.69%"
"12/23/2019","11.83","11.83","11.83","11.83","0.03K","0.28%"
"12/20/2019","11.80","11.67","11.83","11.60","54.21K","1.14%"
"12/19/2019","11.67","11.50","11.77","11.50","158.00K","0.57%"
"12/18/2019","11.60","11.37","11.63","11.37","10.73K","0.87%"
"12/17/2019","11.50","11.83","11.83","11.33","127.51K","0.00%"
"12/16/2019","11.50","11.50","11.53","11.40","31.80K","0.00%"
"12/13/2019","11.50","12.17","12.17","11.50","35.70K","-2.54%"
"12/12/2019","11.80","11.97","11.97","11.63","88.10K","2.31%"
"12/10/2019","11.53","11.43","11.97","11.43","133.72K","1.17%"
"12/09/2019","11.40","12.33","12.33","11.40","114.08K","-5.00%"
"12/06/2019","12.00","12.00","12.47","12.00","23.36K","-0.28%"
"12/05/2019","12.03","12.67","13.13","12.00","74.70K","-3.73%"
"12/04/2019","12.50","12.33","12.83","12.33","172.78K","-0.79%"
"12/03/2019","12.60","11.17","12.80","11.17","199.97K","2.72%"
"12/02/2019","12.27","12.17","12.27","12.17","0.33K","-0.27%"
"11/29/2019","12.30","13.00","13.00","12.30","232.94K","-6.58%"
"11/28/2019","13.17","11.67","13.17","11.17","1.19M","18.26%"
"11/27/2019","11.13","10.67","11.30","10.17","206.45K","9.51%"
"11/26/2019","10.17","10.97","10.97","10.07","10.40K","0.99%"
"11/25/2019","10.07","10.63","10.90","10.07","22.61K","-7.08%"
"11/22/2019","10.83","10.50","11.33","10.00","488.17K","3.17%"
"11/21/2019","10.50","10.00","10.67","9.50","308.76K","12.50%"
"11/20/2019","9.33","9.23","9.83","9.23","82.08K","-1.75%"
"11/19/2019","9.50","9.63","9.67","9.17","37.11K","5.17%"
"11/18/2019","9.03","9.50","9.50","9.00","112.05K","1.50%"
"11/15/2019","8.90","9.00","9.00","8.90","17.46K","-3.96%"
"11/14/2019","9.27","9.27","9.30","9.00","29.40K","3.35%"
"11/13/2019","8.97","9.00","9.00","8.97","8.41K","-0.37%"
"11/08/2019","9.00","9.03","9.17","9.00","36.23K","0.00%"
"11/07/2019","9.00","9.17","9.17","9.00","3.54K","0.00%"
"11/06/2019","9.00","9.00","9.00","9.00","99.40K","0.00%"
"11/05/2019","9.00","9.07","9.40","9.00","150.02K","-1.10%"
"11/04/2019","9.10","9.17","9.17","9.00","93.07K","-3.53%"
"11/01/2019","9.43","9.50","9.50","9.00","45.09K","-0.70%"
"10/31/2019","9.50","9.33","9.50","9.00","130.79K","1.79%"
"10/30/2019","9.33","9.00","9.33","9.00","74.39K","3.70%"
"10/29/2019","9.00","9.00","9.00","9.00","24.04K","0.00%"
"10/28/2019","9.00","9.00","9.00","9.00","6.76K","-2.53%"
"10/25/2019","9.23","9.10","9.23","9.10","0.71K","2.59%"
"10/24/2019","9.00","9.00","9.00","9.00","0.02K","-3.23%"
"10/23/2019","9.30","9.30","9.30","9.30","0.12K","-0.36%"
"10/22/2019","9.33","9.30","9.47","9.30","7.09K","0.36%"
"10/21/2019","9.30","9.30","9.30","9.30","0.00K","6.49%"
"10/18/2019","8.73","9.00","9.27","8.73","6.01K","-3.68%"
"10/16/2019","9.07","9.50","9.50","9.00","11.25K","-1.81%"
"10/14/2019","9.23","9.17","9.23","9.00","54.95K","0.73%"
"10/11/2019","9.17","9.17","9.33","9.17","105.30K","1.85%"
"10/10/2019","9.00","9.00","9.33","8.97","87.39K","0.00%"
"10/09/2019","9.00","9.00","9.00","8.83","17.13K","0.00%"
"10/08/2019","9.00","9.00","9.00","9.00","0.30K","7.14%"
"10/07/2019","8.40","8.40","8.40","8.40","1.40K","-5.97%"
"10/03/2019","8.93","8.90","8.93","8.90","3.00K","7.20%"
"10/02/2019","8.33","8.33","8.33","8.33","11.44K","-7.41%"
"10/01/2019","9.00","9.00","9.00","9.00","1.50K","10.20%"
"09/30/2019","8.17","8.20","8.20","8.17","8.83K","0.41%"
"09/27/2019","8.13","8.13","8.13","8.13","0.15K","0.83%"
"09/24/2019","8.07","8.57","8.57","8.07","8.36K","-10.04%"
"09/23/2019","8.97","7.90","8.97","7.90","3.38K","-0.37%"
"09/19/2019","9.00","9.00","9.00","9.00","0.60K","0.00%"
"09/11/2019","9.00","9.00","9.00","9.00","1.50K","0.00%"
"09/10/2019","9.00","8.67","9.00","8.67","27.49K","-5.92%"
"09/09/2019","9.57","9.53","9.57","9.53","2.10K","6.30%"
"09/05/2019","9.00","8.83","9.00","8.83","8.33K","0.37%"
"09/04/2019","8.97","8.97","8.97","8.97","0.30K","3.46%"
"09/02/2019","8.67","9.03","9.03","8.67","65.03K","-4.06%"
"08/29/2019","9.03","9.00","9.03","9.00","4.52K","-6.23%"
"08/27/2019","9.63","9.63","9.63","9.63","0.30K","10.31%"
"08/26/2019","8.73","8.73","8.73","8.73","0.30K","-5.76%"
"08/22/2019","9.27","9.00","9.30","9.00","1.08K","2.96%"
"08/21/2019","9.00","9.00","9.17","9.00","5.85K","0.00%"
"08/20/2019","9.00","9.00","9.00","9.00","0.60K","-3.23%"
"08/19/2019","9.30","9.30","9.30","9.30","1.50K","6.90%"
"08/16/2019","8.70","9.30","9.30","8.70","3.15K","-10.00%"
"08/15/2019","9.67","9.33","9.67","9.33","3.90K","3.57%"
"08/13/2019","9.33","9.33","10.00","9.33","4.22K","3.70%"
"08/09/2019","9.00","9.00","9.27","9.00","9.60K","0.00%"
"08/08/2019","9.00","9.50","9.50","9.00","3.83K","-3.57%"
"08/07/2019","9.33","9.50","9.50","9.33","2.36K","6.46%"
"08/06/2019","8.77","8.73","8.77","8.73","5.42K","-6.41%"
"08/05/2019","9.37","9.47","9.50","9.33","21.99K","0.72%"
"08/02/2019","9.30","9.50","9.50","9.00","18.92K","-1.41%"
"08/01/2019","9.43","9.40","9.50","9.40","7.30K","0.35%"
"07/31/2019","9.40","9.63","10.00","9.37","19.20K","0.36%"
"07/30/2019","9.37","9.33","9.47","9.33","160.29K","0.36%"
"07/29/2019","9.33","9.33","9.47","9.17","186.39K","0.00%"
"07/26/2019","9.33","9.33","9.33","9.20","74.16K","0.00%"
"07/25/2019","9.33","9.30","9.33","9.27","17.82K","0.36%"
"07/24/2019","9.30","9.03","9.30","9.03","17.87K","3.33%"
"07/23/2019","9.00","8.87","9.03","8.83","37.94K","3.05%"
